sampleID,latitude,longitude,elevation,standingWaterDepth,temp,litterDepth,sampleTopDepth,sampleBottomDepth,siteID,nlcdClass,collectDate,sampleExtent,soilSamplingDevice,soilMoisture,dryMassFraction,horizon,ph,soilInCaClpH,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,kclAmmoniumNConc,kclNitrateNitriteNConc,ExpID,source,sample_subgroup,sample_group,project,doi,aquaticSiteType,samplerType,do,do_sat,specificConductance_field,maxDepth,lakeSampleDepth1,lakeSampleDepth2,alkMeqPerL_ALK,initialSamplepH_ALK,ancMeqPerL_ANC,initialSamplepH_ANC,br,ca,cl,dic,doc,f,k,mg,na,so4,TDN,TDP,tds,TN,TOC,TP,TPC,TPN,TSS,TSS - Dry Mass,UV Absorbance (254 nm),UV Absorbance (280 nm),spc,habitatType,dominantHabitat,algalSampleType,benthicArea,substratumSizeClass,carbon,chlorophyll a,d13C,d34S,nitrogen,pheophytin,phosphorus,sulfur,total chlorophyll a,fe,mn,si,nh4,no2,no3,po4,surface_subsurface
UNDE_010-O-20200806-COMP,46.237778,-89.541857,512.8,0.0,15.5,5.4,0.0,29.75,UNDE,woodyWetlands,2020-08-06T16:06Z|2020-08-06T15:37Z,maximum,brownie cutter,8.652000000000001,0.104,O,4.476215809315752,3.94849251032814,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_006-M-20200806-COMP,46.254613,-89.512657,530.0,0.0,15.766666666666666,2.2333333333333334,0.0,30.2,UNDE,deciduousForest,2020-08-06T15:50Z|2020-08-06T16:47Z|2020-08-06T16:17Z,maximum,corer,0.1713333333333333,0.854,M,5.241637487873721,4.4261586521534015,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_010-M-20200806-COMP,46.237778,-89.541857,512.8,0.0,14.7,4.8,0.0,29.1,UNDE,woodyWetlands,2020-08-06T16:42Z,maximum,brownie cutter,2.148,0.318,M,5.08,4.3,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_044-O-20200806-COMP,46.231744,-89.53264,507.4,0.0,14.7,3.1,0.0,3.5,UNDE,mixedForest,2020-08-06T18:37Z,entire,brownie cutter,3.78,0.209,O,4.91,4.12,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
UNDE_044-M-20200806-COMP,46.231744,-89.53264,507.4,0.0,15.45,2.6,0.0,30.35,UNDE,mixedForest,2020-08-06T19:35Z|2020-08-06T19:06Z,maximum,corer,0.2715,0.788,M,4.765489532554688,3.977544157618064,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
BART_071-O-20210608-COMP,44.06794399999999,-71.290624,256.4,0.0,16.866666666666667,2.3000000000000003,0.0,2.9,BART,mixedForest,2021-06-08T17:36Z|2021-06-08T18:48Z|2021-06-08T18:23Z,entire,brownie cutter,1.632,0.3896666666666666,O,3.572493696828331,3.030868010906121,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
BART_040-O-20210608-COMP,44.06575999999999,-71.29199,260.2,0.0,16.033333333333335,2.233333333333333,0.0,3.233333333333333,BART,deciduousForest,2021-06-08T20:36Z|2021-06-08T20:16Z|2021-06-08T19:48Z,entire,brownie cutter,1.538333333333333,0.421,O,4.294128240531573,3.623879778304905,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
BART_002-O-20210609-COMP,44.035076,-71.272844,550.6,0.0,14.833333333333334,3.3333333333333335,0.0,1.2,BART,deciduousForest,2021-06-09T14:42Z|2021-06-09T12:44Z|2021-06-09T13:17Z,entire,brownie cutter,1.223,0.457,O,3.9558458006159674,3.3518646338393263,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
BART_001-O-20210609-COMP,44.047079,-71.306661,467.7,0.0,15.166666666666666,1.5,0.0,6.533333333333332,BART,mixedForest,2021-06-09T14:16Z|2021-06-09T13:21Z|2021-06-09T13:57Z,entire,brownie cutter,1.4193333333333331,0.428,O,3.640727044993705,3.0838722887905656,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
BART_036-O-20210609-COMP,44.062082,-71.285878,291.0,0.0,16.400000000000002,3.3333333333333335,0.0,2.1,BART,deciduousForest,2021-06-09T17:46Z|2021-06-09T18:17Z|2021-06-09T17:05Z,entire,brownie cutter,1.149333333333333,0.4723333333333333,O,3.5180967656351996,3.0079932437538197,,,,,,,,neon_soil,neon,terrestrial_soil,soil,DP1.10107.001 (metaG) ; DP1.10086.001 (env data),10.48443/V8MW-8Z67 (metaG) ; 10.48443/SKT2-5W34 (env data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,surface
