ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes,trophic_mode,global_function,metabolism_sub_function,energy_metabolism_sub_function
K13318,eryBIV,"tylCIV, tylC2; dTDP-4-keto-6-deoxy-L-hexose 4-reductase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of terpenoids and polyketides,Other
K13327,spnN,"oleW; dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of terpenoids and polyketides,Other
K13328,spnQ,"dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of terpenoids and polyketides,Other
K13330,spnS,"dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of terpenoids and polyketides,Other
K13333,PLB,lysophospholipase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K13335,PEX16,peroxin-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13336,PEX3,peroxin-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13337,PEX19,peroxin-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13338,PEX1,peroxin-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13339,PEX6,PXAAA1; peroxin-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13341,PEX7,PTS2R; peroxin-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13342,PEX5,PXR1; peroxin-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13343,PEX14,peroxin-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13344,PEX13,peroxin-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13345,PEX12,PAF3; peroxin-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13346,PEX10,peroxin-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13348,MPV17,protein Mpv17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13350,PXMP4,PMP24; peroxisomal membrane protein 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13352,PEX11B,peroxin-11B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13354,SLC25A17,"PMP34; solute carrier family 25 (peroxisomal adenine nucleotide transporter), member 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13355,NUDT19,"acyl-coenzyme A diphosphatase NUDT19, mitochondrial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13356,FAR,alcohol-forming fatty acyl-CoA reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Metabolism;Organismal Systems,Lipid metabolism,Other
K13357,SPO1,putative meiotic phospholipase SPO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13366,MPAO,PAO1; polyamine oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism;Metabolism of other amino acids,Other
K13367,FMS1,polyamine oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism;Metabolism of cofactors and vitamins;Metabolism of other amino acids,Other
K13372,aauB,aralkylamine dehydrogenase heavy chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism;Biosynthesis of other secondary metabolites,Other
K13378,nuoCD,NADH-quinone oxidoreductase subunit C/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Energy metabolism,Oxidative phosphorylation
K13380,nuoBCD,NADH-quinone oxidoreductase subunit B/C/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Energy metabolism,Oxidative phosphorylation
K13381,chiA,bifunctional chitinase/lysozyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K13408,cvaA,"mchE, raxA; membrane fusion protein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organismal Systems,Other,Other
K13409,cvaB,"mchF, raxB; ATP-binding cassette, subfamily B, bacterial CvaB/MchF/RaxB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing;Organismal Systems,Other,Other
K13411,DUOX,THOX; dual oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing;Organismal Systems,Other,Other
K13419,pknK,serine/threonine-protein kinase PknK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13421,UMPS,uridine monophosphate synthetase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Nucleotide metabolism;Xenobiotics biodegradation and metabolism,Other
K13431,SRPR,signal recognition particle receptor subunit alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K13444,SUMF1,FGE; formylglycine-generating enzyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13447,RBOH,respiratory burst oxidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing;Organismal Systems,Other,Other
K13449,PR1,pathogenesis-related protein 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing;Organismal Systems,Other,Other
K13450,ospF,"mkaD, spvC; phosphothreonine lyase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organismal Systems,Other,Other
K13455,avrXccC,avrB; avirulence protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organismal Systems,Other,Other
K13461,hopM1,effector protein HopM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13472,raxST,sulfotransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organismal Systems,Other,Other
K13479,ygeT,xdhB; xanthine dehydrogenase FAD-binding subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Nucleotide metabolism,Other
K13480,ygeU,xdhC; xanthine dehydrogenase iron-sulfur-binding subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Nucleotide metabolism,Other
K13481,xdhA,xanthine dehydrogenase small subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Nucleotide metabolism,Other
K13482,xdhB,xanthine dehydrogenase large subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Nucleotide metabolism,Other
K13483,yagT,xanthine dehydrogenase YagT iron-sulfur-binding subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Nucleotide metabolism,Other
K13485,PRHOXNB,URAD; 2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Nucleotide metabolism,Other
K13486,wspC,chemotaxis protein methyltransferase WspC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K13487,wspA,methyl-accepting chemotaxis protein WspA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K13488,wspB,chemotaxis-related protein WspB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K13489,wspD,chemotaxis-related protein WspD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K13490,wspE,"two-component system, chemotaxis family, sensor histidine kinase and response regulator WspE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K13491,wspF,"two-component system, chemotaxis family, response regulator WspF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K13497,trpGD,anthranilate synthase/phosphoribosyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K13498,trpCF,indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K13500,fcbD,chondroitin synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K13501,TRP1,anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K13503,trpEG,anthranilate synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K13507,GAT,glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K13509,AGPAT1_2,lysophosphatidate acyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing;Metabolism;Organismal Systems,Lipid metabolism,Other
K13511,TAZ,monolysocardiolipin acyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K13519,LPT1,ALE1; lysophospholipid acyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K13522,K13522,nadM; bifunctional NMN adenylyltransferase/nudix hydrolase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13524,ABAT,4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism;Organismal Systems,Amino acid metabolism;Carbohydrate metabolism;Metabolism of other amino acids,Other
K13525,VCP,CDC48; transitional endoplasmic reticulum ATPase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Genetic Information Processing,Other,Other
K13526,ATP13A2,cation-transporting P-type ATPase 13A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13527,mpa,proteasome-associated ATPase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K13529,ada-alkA,"AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic Information Processing,Other,Other
K13530,adaA,"AraC family transcriptional regulator, regulatory protein of adaptative response / methylphosphotriester-DNA alkyltransferase methyltransferase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13531,adaB,methylated-DNA-[protein]-cysteine S-methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13532,kinD,"two-component system, sporulation sensor kinase D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K13533,kinE,"two-component system, sporulation sensor kinase E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K13535,CLD1,cardiolipin-specific phospholipase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K13540,cobIJ,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13541,cbiGH-cobJ,cobalt-precorrin 5A hydrolase / cobalt-factor III methyltransferase / precorrin-3B C17-methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13542,cobA-hemD,uroporphyrinogen III methyltransferase / synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13543,hemDX,uroporphyrinogen III methyltransferase / synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13546,btrC,"neoC, kanC; 2-deoxy-scyllo-inosose synthase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Biosynthesis of other secondary metabolites,Other
K13547,btrR,"neoB, kanB; L-glutamine:2-deoxy-scyllo-inosose/3-amino-2,3-dideoxy-scyllo-inosose aminotransferase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Biosynthesis of other secondary metabolites,Other
K13550,btrM,"neoD, kanF; 2-deoxystreptamine N-acetyl-D-glucosaminyltransferase / 2-deoxystreptamine glucosyltransferase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Biosynthesis of other secondary metabolites,Other
K13566,NIT2,yafV; omega-amidase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K13570,pup,prokaryotic ubiquitin-like protein Pup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13571,pafA,proteasome accessory factor A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13572,pafB,proteasome accessory factor B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13573,pafC,proteasome accessory factor C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13574,hcxB,hydroxycarboxylate dehydrogenase B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism,Other
K13577,SLC25A10,"DIC; solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Organismal Systems,Other,Other
K13580,K13580,magnesium chelatase subunit ChlD-like protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13581,ccrM,modification methylase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13582,podJ,localization factor PodJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13583,gcrA,GcrA cell cycle regulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13584,ctrA,"two-component system, cell cycle response regulator CtrA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K13585,hfaA,holdfast attachment protein HfaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13586,hfaB,holdfast attachment protein HfaB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13587,cckA,"two-component system, cell cycle sensor histidine kinase and response regulator CckA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K13588,chpT,histidine phosphotransferase ChpT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K13589,cpdR,"two-component system, cell cycle response regulator CpdR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes;Environmental Information Processing,Other,Other
K13590,dgcB,diguanylate cyclase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13591,popA,"two-component system, cell cycle response regulator PopA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13592,rcdA,regulator of CtrA degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13593,tipF,"cyclic-di-GMP phosphodiesterase, flagellum assembly factor TipF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellular Processes,Other,Other
K13598,ntrY,"two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K13599,ntrX,"two-component system, NtrC family, nitrogen regulation response regulator NtrX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental Information Processing,Other,Other
K13601,bchQ,bacteriochlorophyllide d C-8(2)-methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13602,bchR,bacteriochlorophyllide d C-12(1)-methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13603,bchV,3-vinyl bacteriochlorophyllide hydratase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13604,bchU,bacteriochlorophyllide d C-20 methyltransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13605,bchK,bacteriochlorophyll c synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Metabolism of cofactors and vitamins,Other
K13607,fldA,cinnamoyl-CoA:phenyllactate CoA-transferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Biosynthesis of other secondary metabolites,Other
K13609,dpkA,lhpD; delta1-piperideine-2-carboxylate reductase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Amino acid metabolism;Biosynthesis of other secondary metabolites,Other
K13611,pksJ,"baeJ; bacillaene biosynthesis, polyketide synthase / nonribosomal peptide synthetase PksJ/BaeJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13612,pksL,baeL; bacillaene polyketide synthase PksL/BaeL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13613,pksM,baeM; bacillaene polyketide synthase PksM/BaeM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13614,pksN,"baeN; bacillaene biosynthesis, polyketide synthase / nonribosomal peptide synthetase PksN/BaeN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13615,pksR,baeR; bacillaene polyketide synthase PksR/BaeR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13617,PPME1,protein phosphatase methylesterase 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13620,wcaD,putative colanic acid polymerase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13621,BTA1,betaine lipid synthase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K13622,btaA,S-adenosylmethionine-diacylglycerol 3-amino-3-carboxypropyl transferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K13623,btaB,S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Lipid metabolism,Other
K13626,fliW,flagellar assembly factor FliW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13628,iscA,iron-sulfur cluster assembly protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13629,dsdX,D-serine transporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13630,marB,multiple antibiotic resistance protein MarB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13631,soxS,"AraC family transcriptional regulator, mar-sox-rob regulon activator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13632,marA,"AraC family transcriptional regulator, mar-sox-rob regulon activator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13633,ftrA,"AraC family transcriptional regulator, transcriptional activator FtrA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13634,cysB,"LysR family transcriptional regulator, cys regulon transcriptional activator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13635,cbl,"LysR family transcriptional regulator, cys regulon transcriptional activator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13636,dsdC,"LysR family transcriptional regulator, D-serine deaminase activator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13637,uxuR,"GntR family transcriptional regulator, uxu operon transcriptional repressor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13638,zntR,"MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13639,soxR,"MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13640,hspR,"MerR family transcriptional regulator, heat shock protein HspR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13641,iclR,"IclR family transcriptional regulator, acetate operon repressor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13642,ftrB,"CRP/FNR family transcriptional regulator, transcriptional activator FtrB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13643,iscR,"Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13650,mcbA,MqsR-controlled colanic acid and biofilm protein A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13651,mqsR,motility quorum-sensing regulator / GCU-specific mRNA interferase toxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13652,K13652,AraC family transcriptional regulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13653,K13653,AraC family transcriptional regulator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13654,mcbR,"GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13655,mqsA,HTH-type transcriptional regulator / antitoxin MqsA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Other,Other
K13656,gumD,undecaprenyl-phosphate glucose phosphotransferase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K13657,gumH,"aceA; alpha-1,3-mannosyltransferase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
K13658,gumI,"beta-1,4-mannosyltransferase",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolism,Glycan biosynthesis and metabolism,Other
