ko,gene_name,gene_description,ec_1,ec_2,ec_3,ec_4,glycolysis,gluconeogenesis,ppp,prpp_biosynthesis,ed,tca,glyoxylate_cycle,malonate_semialdehyde_pathway,serine_biosynthesis,cysteine_biosynthesis,cbb,cam,c4,rtca,methane_oxidation,pyruvate_oxidation,sped,nped,formaldehyde_assimilation,methanogenesis_acetate_methanol,emcp,dchb,hphb,3hp,wl,acCoA_pathway,photorespiration,methanogenesis_methylamine_dimethylamine_trimethylamine,methanogenesis_CO2,pta_acka,ppp_archea,incomplete_rtca,rglyc,sped_2,methylaspartate_cycle,propanoylCoA_metabolism,methylcitrate_cycle,pathway,key_genes
K00033,PGD/gnd/gntZ,6-phosphogluconate dehydrogenase,1.1.1.44,1.1.1.343,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00034,gdh,glucose 1-dehydrogenase,1.1.1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00036,G6PD/zwf,glucose-6-phosphate 1-dehydrogenase,1.1.1.49,1.1.1.363,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00043,gbd,4-hydroxybutyrate dehydrogenase,1.1.1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00051,E1.1.1.82,malate dehydrogenase (NADP+),1.1.1.82,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00058,serA/PHGDH,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase,1.1.1.95,1.1.1.399,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00074,paaH/hbd/fadB/mmgB,3-hydroxybutyryl-CoA dehydrogenase,1.1.1.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00116,mqo,malate dehydrogenase (quinone),1.1.5.4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K00121,frmA/ADH5/adhC,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase,1.1.1.284,1.1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00122,FDH,formate dehydrogenase,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00123,fdoG/fdhF/fdwA,formate dehydrogenase major subunit,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00124,fdoH/fdsB,formate dehydrogenase iron-sulfur subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00125,fdhB,formate dehydrogenase (coenzyme F420) beta subunit,1.17.98.3,1.8.98.6,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K00126,fdsD,formate dehydrogenase subunit delta,1.17.1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00127,fdoI/fdsG,formate dehydrogenase subunit gamma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00131,gapN,glyceraldehyde-3-phosphate dehydrogenase (NADP+),1.2.1.9,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,other,
K00134,GAPDH/gapA,glyceraldehyde 3-phosphate dehydrogenase (phosphorylating),1.2.1.12,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,cbb|other,
K00140,mmsA/iolA/ALDH6A1,malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00148,fdhA,glutathione-independent formaldehyde dehydrogenase,1.2.1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00150,gap2/gapB,glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating),1.2.1.59,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,
K00161,PDHA/pdhA,pyruvate dehydrogenase E1 component subunit alpha,1.2.4.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,
K00162,PDHB/pdhB,pyruvate dehydrogenase E1 component subunit beta,1.2.4.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,
K00163,aceE,pyruvate dehydrogenase E1 component,1.2.4.1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,
K00164,OGDH/sucA,2-oxoglutarate dehydrogenase E1 component,1.2.4.2,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00169,porA,pyruvate ferredoxin oxidoreductase alpha subunit,1.2.7.1,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,
K00170,porB,pyruvate ferredoxin oxidoreductase beta subunit,1.2.7.1,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,
K00171,porD,pyruvate ferredoxin oxidoreductase delta subunit,1.2.7.1,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,
K00172,porC/porG,pyruvate ferredoxin oxidoreductase gamma subunit,1.2.7.1,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,dchb|rtca|other,
K00174,korA/oorA/oforA,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha,1.2.7.3,1.2.7.11,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,
K00175,korB/oorB/oforB,2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta,1.2.7.3,1.2.7.11,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,
K00176,korD/oorD,2-oxoglutarate ferredoxin oxidoreductase subunit delta,1.2.7.3,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,rtca_1|rtca_4
K00177,korC/oorC,2-oxoglutarate ferredoxin oxidoreductase subunit gamma,1.2.7.3,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,rtca|other,rtca_1|rtca_4
K00189,vorG/porG,2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit,1.2.7.7,1.2.7.1,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,
K00192,cdhA,anaerobic carbon-monoxide dehydrogenase/CODH/ACS complex subunit alpha,1.2.7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,other|wl?,wl_1|wl_3
K00193,cdhC,acetyl-CoA decarbonylase/synthase/CODH/ACS complex subunit beta,2.3.1.169,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,other|wl?,wl_1|wl_3
K00194,cdhD/acsD,acetyl-CoA decarbonylase/synthase/CODH/ACS complex subunit delta,2.1.1.245,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,wl|other,wl_1|wl_3
K00195,cdhB,anaerobic carbon-monoxide dehydrogenase/CODH/ACS complex subunit epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,other|wl?,wl_1|wl_3
K00196,cooF,anaerobic carbon-monoxide dehydrogenase iron sulfur subunit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00197,cdhE/acsC,acetyl-CoA decarbonylase/synthase/CODH/ACS complex subunit gamma,2.1.1.245,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,wl|other,wl_1|wl_3
K00198,cooS/acsA,anaerobic carbon-monoxide dehydrogenase catalytic subunit,1.2.7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_1|wl_2|wl_3
K00200,fwdA/fmdA,formylmethanofuran dehydrogenase subunit A,1.2.7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K00201,fwdB/fmdB,formylmethanofuran dehydrogenase subunit B,1.2.7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K00202,fwdC/fmdC,formylmethanofuran dehydrogenase subunit C,1.2.7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K00203,fwdD/fmdD,formylmethanofuran dehydrogenase subunit D,1.2.7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K00204,fwdH,4Fe-4S ferredoxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K00205,fwdF/fmdF,4Fe-4S ferredoxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K00209,fabV/ter,enoyl-[acyl-carrier protein reductase / trans-2-enoyl-CoA reductase (NAD+),1.3.1.9 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00232,E1.3.3.6/ACOX1/ACOX3,acyl-CoA oxidase,1.3.3.6,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00234,SDHA/SDH1,succinate dehydrogenase (ubiquinone) flavoprotein subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00235,SDHB/SDH2,succinate dehydrogenase (ubiquinone) iron-sulfur subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00236,SDHC/SDH3,succinate dehydrogenase (ubiquinone) cytochrome b560 subunit,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00237,SDHD/SDH4,succinate dehydrogenase (ubiquinone) membrane anchor subunit,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00239,sdhA/frdA,succinate dehydrogenase flavoprotein subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,3hp|dchb|rtca|other,
K00240,sdhB/frdB,succinate dehydrogenase iron-sulfur subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,3hp|dchb|rtca|other,
K00241,sdhC/frdC,succinate dehydrogenase cytochrome b subunit,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,3hp|dchb|rtca|other,
K00242,sdhD/frdD,succinate dehydrogenase membrane anchor subunit,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,rtca|other,
K00244,frdA,succinate dehydrogenase flavoprotein subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K00245,frdB,succinate dehydrogenase iron-sulfur subunit,1.3.5.1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K00246,frdC,succinate dehydrogenase subunit C,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K00247,frdD,succinate dehydrogenase subunit D,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K00248,ACADS/bcd,butyryl-CoA dehydrogenase,1.3.8.1,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00261,GLUD1_2/gdhA,glutamate dehydrogenase (NAD(P)+),1.4.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,
K00281,GLDC/gcvP,glycine cleavage system P protein (glycine dehydrogenase),1.4.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,rglyc|other,
K00282,gcvPA,glycine cleavage system P protein (glycine dehydrogenase) subunit 1,1.4.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,rglyc,
K00283,gcvPB,glycine cleavage system P protein (glycine dehydrogenase) subunit 2,1.4.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,rglyc,
K00297,metF/MTHFR,methylenetetrahydrofolate reductase (NADH),1.5.1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3
K00317,dmd-tmd,dimethylamine/trimethylamine dehydrogenase,1.5.8.1,1.5.8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00319,mtd,methylenetetrahydromethanopterin dehydrogenase,1.5.98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K00320,mer,"5,10-methylenetetrahydromethanopterin reductase",1.5.98.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K00382,DLD/lpd/pdhD,dihydrolipoyl dehydrogenase,1.8.1.4,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,rglyc|other,
K00399,mcrA,methyl-coenzyme M reductase alpha subunit,2.8.4.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K00401,mcrB,methyl-coenzyme M reductase beta subunit,2.8.4.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K00402,mcrG,methyl-coenzyme M reductase gamma subunit,2.8.4.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,other,
K00577,mtrA,tetrahydromethanopterin S-methyltransferase subunit A,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,
K00578,mtrB,tetrahydromethanopterin S-methyltransferase subunit B,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,
K00579,mtrC,tetrahydromethanopterin S-methyltransferase subunit C,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,
K00580,mtrD,tetrahydromethanopterin S-methyltransferase subunit D,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,
K00581,mtrE,tetrahydromethanopterin S-methyltransferase subunit E,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,
K00582,mtrF,tetrahydromethanopterin S-methyltransferase subunit F,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,
K00583,mtrG,tetrahydromethanopterin S-methyltransferase subunit G,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,
K00584,mtrH,tetrahydromethanopterin S-methyltransferase subunit H,7.2.1.4,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,other,
K00600,glyA/SHMT,glycine hydroxymethyltransferase,2.1.2.1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,other,
K00605,gcvT/AMT,glycine cleavage system T protein (aminomethyltransferase),2.1.2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,rglyc|other,
K00615,E2.2.1.1/tktA/tktB,transketolase,2.2.1.1,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,
K00616,TALDO1/talB/talA,transaldolase,2.2.1.2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00625,pta,phosphate acetyltransferase,2.3.1.8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,other,
K00626,ACAT/atoB,acetyl-CoA C-acetyltransferase,2.3.1.9,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,dchb|hphb|other,
K00627,DLAT/aceF/pdhC,pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,other,
K00640,cysE,serine O-acetyltransferase,2.3.1.30,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00658,DLST/sucB,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase),2.3.1.61,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00672,ftr,formylmethanofuran--tetrahydromethanopterin N-formyltransferase,2.3.1.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K00814,GPT/ALT,alanine transaminase,2.6.1.2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00830,AGXT,alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminas,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,other,
K00831,serC/PSAT1,phosphoserine aminotransferase,2.6.1.52,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00844,HK,hexokinase,2.7.1.1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00845,glk,glucokinase,2.7.1.2,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00850,pfkA/PFK,6-phosphofructokinase 1,2.7.1.11,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K00851,idnK/gntK,gluconokinase,2.7.1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00855,PRK/prkB,phosphoribulokinase,2.7.1.19,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb,cbb_1|cbb_2
K00863,DAK/TKFC,triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing),2.7.1.28,2.7.1.29,4.6.1.15,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,other,
K00873,PK/pyk,pyruvate kinase,2.7.1.40,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00874,kdgK,2-dehydro-3-deoxygluconokinase,2.7.1.45,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,other,
K00886,ppgK,polyphosphate glucokinase,2.7.1.63,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00918,pfkC,ADP-dependent phosphofructokinase/glucokinase,2.7.1.146,2.7.1.147,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00925,ackA,acetate kinase,2.7.2.1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,other,
K00926,arcC,carbamate kinase,2.7.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K00927,PGK/pgk,phosphoglycerate kinase,2.7.2.3,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,cbb|other,
K00948,PRPS/prsA,ribose-phosphate pyrophosphokinase,2.7.6.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01006,ppdK,pyruvate/orthophosphate dikinase,2.7.9.1,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,rtca|other,
K01007,pps/ppsA,pyruvate/water dikinase,2.7.9.2,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,dchb|rtca,
K01053,gnl/RGN,gluconolactonase,3.1.1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01057,PGLS/pgl/devB,6-phosphogluconolactonase,3.1.1.31,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01070,frmB/ESD/fghA,S-formylglutathione hydrolase,3.1.2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01079,serB/PSPH,phosphoserine phosphatase,3.1.3.3,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01086,fbp-SEBP,"fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase",3.1.3.11,3.1.3.37,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,
K01100,E3.1.3.37,sedoheptulose-bisphosphatase,3.1.3.37,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb,cbb_2
K01455,E3.5.1.49,formamidase,3.5.1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01491,folD,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase,1.5.1.5,3.5.4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3
K01499,mch,methenyltetrahydromethanopterin cyclohydrolase,3.5.4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,other,
K01500,fchA,methenyltetrahydrofolate cyclohydrolase,3.5.4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,wl,wl_2|wl_3
K01595,ppc,phosphoenolpyruvate carboxylase,4.1.1.31,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,dchb|rtca|other,
K01601,rbcL/cbbL,ribulose-bisphosphate carboxylase large chain,4.1.1.39,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,cbb,cbb_1|cbb_2
K01602,rbcS/cbbS,ribulose-bisphosphate carboxylase small chain,4.1.1.39,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,cbb,cbb_1|cbb_2
K01610,pckA,phosphoenolpyruvate carboxykinase (ATP),4.1.1.49,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01616,kgd,multifunctional 2-oxoglutarate metabolism enzyme,2.2.1.5,4.1.1.71,1.2.4.2,2.3.1.61,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01622,K01622,"fructose 1,6-bisphosphate aldolase/phosphatase",4.1.2.13,3.1.3.11,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01623,ALDO,fructose-bisphosphate aldolase/class I,4.1.2.13,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,cbb|other,
K01624,FBA/fbaA,fructose-bisphosphate aldolase/class II,4.1.2.13,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,cbb|other,
K01625,eda,2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase,4.1.2.1,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,other,
K01637,ICL/aceA,isocitrate/methylisocitrate lyase,4.1.3.1,4.1.3.30,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,other,
K01638,aceB/glcB,malate synthase,2.3.3.9,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,
K01647,CS/gltA,citrate synthase,2.3.3.1,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,other,
K01659,prpC,2-methylcitrate synthase,2.3.3.5,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,other,
K01676,E4.2.1.2A/fumA/fumB,fumarate hydratase/class I,4.2.1.2,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,rtca|other,
K01677,E4.2.1.2AA/fumA,fumarate hydratase subunit alpha,4.2.1.2,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,dchb|rtca|other,
